구,행정동,법정동
종로구,사직동,사직동
종로구,삼청동,삼청동
종로구,부암동,부암동
종로구,평창동,평창동
종로구,무악동,무악동
종로구,교남동,교남동
종로구,가회동,가회동
종로구,종로1가동,종로1가
종로구,종로2가동,종로2가
종로구,종로3가동,종로3가
종로구,종로4가동,종로4가
종로구,종로5가동,종로5가
종로구,종로6가동,종로6가
종로구,이화동,이화동
종로구,혜화동,혜화동
종로구,창신1동,창신동
종로구,창신2동,창신동
종로구,창신3동,창신동
종로구,숭인1동,숭인동
종로구,숭인2동,숭인동
중구,소공동,소공동
중구,회현동,회현동
중구,명동,명동
중구,필동,필동
중구,장충동,장충동
중구,광희동,광희동
중구,을지로동,을지로동
중구,신당동,신당동
중구,다산동,신당동
중구,약수동,신당동
중구,청구동,신당동
중구,신당5동,신당동
중구,동화동,신당동
중구,황학동,황학동
중구,중림동,중림동
중랑구,면목본동,면목동
중랑구,면목2동,면목동
중랑구,면목3.8동,면목동
중랑구,면목4동,면목동
중랑구,면목5동,면목동
중랑구,면목7동,면목동
중랑구,상봉1동,상봉동
중랑구,상봉2동,상봉동
중랑구,중화1동,중화동
중랑구,중화2동,중화동
중랑구,묵1동,묵동
중랑구,묵2동,묵동
중랑구,망우본동,망우동
중랑구,망우3동,망우동
중랑구,신내1동,신내동
중랑구,신내2동,신내동
