,기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
73341,20241,R,전통시장,3130147,쌍문역동측상점가,CS300029,애완동물,30232315,1801,24559899,5672416,6343316,4754750,3709071,4323521,5429241,3123859,2548557,423106,749286,5189526,8585691,12593002,2691704,13659744,16572571,28286,4242204,5817805,2789316,7236071,10118633,1380,421,293,268,243,262,314,197,224,40,110,245,380,749,277,684,1117,18,321,449,158,402,453
73342,20241,A,골목상권,3110544,망리단길,CS300029,애완동물,117000000,7358,76449267,40550733,13748772,15354117,12658349,15153747,19534282,15285220,25265513,0,6566598,22488068,41410020,42993959,3541355,53881927,63118073,188922,8401866,14636528,18566799,43870107,31335778,4911,2447,893,947,849,1016,1206,1005,1442,0,292,1372,2529,2830,335,2847,4511,26,630,1353,1184,2214,1951
73343,20241,D,발달상권,3120156,"총신대입구역(이수, 총신대)",CS300029,애완동물,41175855,621,26088271,15087584,6320579,3131074,2846066,2161645,11628907,9089927,5997657,111505,3546766,5597576,15472947,13910534,2536527,13537659,27638196,0,1116839,11168167,9265214,6455722,13169913,419,202,115,67,90,53,94,108,94,4,44,76,160,279,58,206,415,0,26,162,166,89,178
73344,20241,D,발달상권,3120248,명일역,CS300029,애완동물,93109548,5446,64951490,28158058,9094832,11854669,17083434,14262561,12655994,13591011,14567047,4259590,4575834,19802112,26206826,26330301,11934885,35490215,57619333,70195,12381153,20563672,16463698,22729785,20901045,3654,1792,532,714,784,812,812,882,910,154,392,980,1428,1610,882,2180,3266,14,792,1104,962,1258,1316
73345,20241,D,발달상권,3120245,둔촌역,CS300029,애완동물,71658810,603,51800026,19858784,11479312,11424868,8900086,12415438,7580322,17249693,2609091,0,3445861,17380178,29617465,21215306,0,36209971,35448839,0,3577379,22950125,18962288,19173920,6995098,449,154,69,116,103,74,87,91,63,0,23,172,277,131,0,241,362,0,52,179,108,166,98
73346,20241,A,골목상권,3111060,암사역 2번(서울강동초등학교),CS300029,애완동물,23654344,246,4244419,19409925,32074,1261565,534561,2341380,74839,18046794,1363131,0,598709,427649,18821909,3677782,128295,18698960,4955384,0,662856,1042396,823225,17865042,3260825,131,115,11,55,11,43,11,73,42,0,22,22,85,106,11,96,150,0,52,43,33,42,76
73347,20241,D,발달상권,3120194,언주역(차병원),CS300029,애완동물,101686779,859,49789113,51897666,0,544294,34653376,11067309,3524134,9380854,42516812,0,2919018,8199822,44722752,45845187,0,41125426,59857288,0,16238602,7492641,39943118,36550662,757690,164,695,0,6,6,6,146,335,360,0,95,323,335,106,0,272,561,0,210,300,159,120,45
75970,20241,D,발달상권,3120055,군자역,CS300029,애완동물,91392477,8501,60835646,30556831,10103065,9572305,10858995,13988408,16312873,15373385,15183446,6281291,2212646,10371125,15969501,38028565,18529349,30390634,61001843,319119,30538450,38376533,5650201,11560547,4947627,5794,2707,1046,944,893,1328,1583,1431,1276,536,205,970,1327,3855,1608,2604,5897,26,2758,3700,562,1021,434
75972,20241,R,전통시장,3130073,뚝도시장,CS300029,애완동물,164819949,3440,122353516,42466433,11765413,8466156,34298227,32764871,35058849,39109039,3357394,0,5951743,38619721,80931123,39317362,0,62650367,69055889,2422362,13412912,33833653,26748130,31654211,23634988,2496,944,340,315,508,583,750,775,169,0,144,824,1430,1042,0,1489,1588,24,271,684,514,711,872
75973,20241,R,전통시장,3130202,신영시장,CS300029,애완동물,74283944,3343,47504495,26779449,10157630,10438179,7876434,8535085,10497167,18957284,7822165,0,1819835,16180281,31471691,24304207,507930,23115758,50295934,7400,3241431,9024493,14212327,20340569,26585472,2230,1113,434,532,392,386,486,772,341,0,89,774,1301,1135,44,1168,2159,7,136,485,726,790,1183
75974,20241,R,전통시장,3130221,"남부골목시장(남부화곡시장, 남부시장)",CS300029,애완동물,199178453,13964,136073363,63105090,16757760,27086443,29124074,22809173,40295913,37397561,25707529,0,7122927,45187986,69824000,77043540,0,58537984,140640469,0,8853157,27358713,31592067,86125051,45249465,9486,4478,1318,2107,2196,1229,2636,2370,2108,0,703,3425,5006,4830,0,4128,9836,0,615,2196,1932,5357,3864
75975,20241,A,골목상권,3110416,노원초등학교,CS300029,애완동물,16941487,493,13203828,3737659,3377895,3547375,2169429,1983045,2126084,3737659,0,0,827894,4115197,6041460,5956936,0,5547324,11394163,0,1083631,4061449,652346,5393014,5751047,410,83,95,104,69,69,73,83,0,0,26,108,207,152,0,173,320,0,34,95,26,169,169
75976,20241,D,발달상권,3120081,노원역,CS300029,애완동물,3512436,84,2057143,1455293,848510,0,0,517986,690647,1455293,0,0,789312,1218499,1504625,0,0,591984,2920452,0,961973,197328,986639,675848,690648,59,25,20,0,0,20,19,25,0,0,15,30,39,0,0,15,69,0,10,10,19,25,20
75977,20241,A,골목상권,3110422,노원역 9번,CS300029,애완동물,112810189,571,52981062,59829127,17501672,338270,3078636,19635814,12426670,8576474,51252653,0,190039,46389547,30910845,35244692,75066,86985747,25824442,19004,41819101,3584142,28206585,1595380,37585977,353,218,67,38,18,125,105,104,114,0,10,114,245,192,10,314,257,10,134,77,140,59,151
75978,20241,A,골목상권,3110804,신풍역 1번,CS300029,애완동물,4670690,108,3729311,941379,1955173,36207,1050000,434483,253448,941379,0,0,253448,1846552,2317242,253448,0,3620690,1050000,0,0,1448276,253448,2425863,543103,87,21,45,7,21,7,7,21,0,0,7,35,59,7,0,79,29,0,0,21,7,66,14
75979,20241,R,전통시장,3130241,선유도역 골목형상점가,CS300029,애완동물,45518516,1410,25248876,20269640,10435649,2012441,6099564,3547706,3153516,8049765,12219875,0,1556011,14647252,11721951,17593302,0,31243037,10582546,0,1701239,6930152,11612971,14662753,6918467,973,437,290,124,186,207,166,145,292,0,62,373,435,540,0,846,502,0,83,275,422,359,209
75980,20241,D,발달상권,3120185,논현역,CS300029,애완동물,39564037,156,24842515,14721522,14955836,7583815,674867,1594313,33684,13877939,843583,13945307,0,160281,5061500,10695866,9701083,5297643,33507168,0,19267428,3787689,4470992,11278702,0,134,22,19,77,8,23,7,14,8,19,0,8,60,49,20,57,90,0,39,52,33,23,0
75981,20241,D,발달상권,3120189,강남역,CS300029,애완동물,160062885,294,60620738,99442147,2765774,2681963,7149107,25562457,22461437,24221475,75220672,0,0,8297322,73209200,61794096,16762267,47814366,112248519,2975302,25855796,20139864,37757006,73334917,0,193,101,8,16,42,85,42,50,51,0,0,25,117,135,17,92,202,17,51,42,59,125,0
75982,20241,A,골목상권,3111004,삼전역 1번,CS300029,애완동물,333882227,8545,190252799,143629428,45037905,35069502,23551980,34882165,51711247,73395713,70233715,9181621,19750440,52430834,102138041,128668738,21712553,133579474,200302753,448456,43274140,80148351,83502915,90427944,36080421,5535,3010,1029,1187,1027,1069,1223,1560,1450,470,386,1656,2067,2963,1003,3152,5393,60,1275,2167,1944,1698,1401
78755,20241,D,발달상권,3120058,구의사거리,CS300029,애완동물,15088196,412,9899024,5189172,2242422,2352832,2383289,1743685,1176796,3099036,2090136,0,487318,3232288,6986157,3841815,540618,3555896,10047502,0,1263981,1435303,1812213,4085474,5006428,268,144,69,55,53,46,45,84,60,0,16,84,144,145,23,91,282,0,38,53,46,106,129
78756,20241,R,전통시장,3130024,남대문시장(자유상가),CS300029,애완동물,1141605095,7643,1141605095,0,302484077,58025477,674394904,65566879,41133758,0,0,0,18726115,1006598726,116280254,0,0,122231323,1019373772,0,0,8034242,48109078,96522284,988939491,7643,0,1528,1912,1401,1528,1274,0,0,0,382,4587,2674,0,0,3380,4263,0,0,390,790,2973,3490
78757,20241,R,전통시장,3130072,성동용답상가시장,CS300029,애완동물,58351181,2898,39405760,18945421,5657999,8423271,9449823,8592229,7282438,8895226,10050195,201668,1584425,9418940,15853624,28230396,3062128,20619196,37731985,135014,11470000,7867661,11039505,15432584,12406417,2044,854,355,395,408,472,414,431,423,8,92,434,728,1410,226,1003,1895,8,559,578,295,828,630
78758,20241,A,골목상권,3110405,방학역 1번,CS300029,애완동물,69361099,2596,48179352,21181747,9512882,11350530,6263234,8911602,12141104,11553019,9628728,0,4405867,24326029,25033225,14580148,1015830,22853802,46507297,0,3535495,12500203,10964916,19879952,22480533,1812,784,382,348,287,331,464,440,344,0,165,792,888,696,55,952,1644,0,159,469,480,668,820
78759,20241,D,발달상권,3120108,신정네거리역,CS300029,애완동물,27651581,595,20000776,7650805,2760155,6262104,2794657,2070116,6113744,4157483,3493322,0,1319699,7590427,10566220,8175235,0,10307455,17344126,0,603784,5261546,4864773,8235613,8685865,413,182,68,104,60,52,129,104,78,0,35,171,225,164,0,233,362,0,18,69,113,207,188
78760,20241,A,골목상권,3110752,한울중학교,CS300029,애완동물,2246030,40,1998306,247724,0,0,787211,192674,1018421,247724,0,0,0,192674,638577,1414779,0,192674,2053356,0,0,0,198179,616557,1431294,34,6,0,0,16,6,12,6,0,0,0,5,17,18,0,6,34,0,0,0,6,12,22
78761,20241,D,발달상권,3120178,신사역,CS300029,애완동물,93655407,758,66157085,27498322,10898489,10164096,20330744,7979919,16783837,24054373,3443949,0,21032256,32273232,28891102,10861965,596852,26467571,66700992,0,6196605,15032880,20874048,28322476,22742554,527,231,104,82,158,57,126,184,47,0,127,204,235,168,24,233,506,0,70,123,182,200,164
78762,20241,D,발달상권,3120186,가로수길,CS300029,애완동물,140762058,599,136911194,3850864,3219172,4119130,3640026,121441694,4491172,2199849,1651015,0,2682643,8548362,7482277,6887092,115161684,7832473,132929585,0,976584,3270742,121610289,6718584,8185859,505,94,74,91,77,160,103,57,37,0,53,163,174,176,33,146,453,0,38,102,154,142,163
78894,20241,D,발달상권,3120110,목동역 8번출구,CS300029,애완동물,15253089,24,8673325,6579764,0,8673325,0,0,0,6579764,0,0,0,0,6579764,8673325,0,6579764,8673325,0,0,8673325,0,0,6579764,6,18,0,6,0,0,0,18,0,0,0,0,18,6,0,6,18,0,0,18,0,0,6
81478,20241,A,골목상권,3110249,중화역 1번,CS300029,애완동물,30456950,451,29770627,686323,2036464,0,450047,27284116,0,405043,281280,0,0,25765206,3037819,1653925,0,26158998,4297952,0,26890324,281280,3285346,0,0,339,112,113,0,56,170,0,56,56,0,0,112,169,170,0,112,339,0,168,56,227,0,0
81480,20241,A,골목상권,3110254,오거리공원,CS300029,애완동물,10331172,250,7725800,2605372,0,2792961,2223252,1528485,1181102,1354793,1250579,0,0,1229735,5210747,3890690,0,4724410,5606762,0,1542381,4620194,1945346,1285317,937934,188,62,0,70,55,35,28,41,21,0,0,42,124,84,0,105,145,0,56,96,56,21,21
81481,20241,D,발달상권,3120104,연남동(홍대),CS300029,애완동물,5764378,89,4593436,1170942,651268,0,1823323,1449736,669109,780628,390314,0,446073,10037,2241516,3066752,0,2325156,3439222,0,11152,2770114,0,2258244,724868,67,22,11,0,28,16,12,11,11,0,6,6,38,39,0,34,55,0,6,32,0,39,12
81482,20241,A,골목상권,3110660,등촌3동주민센터,CS300029,애완동물,50900266,1820,34898141,16002125,6107825,8713948,8624335,4342196,7109837,8272961,7729164,2067505,2013320,8229024,14563154,18757172,5270091,15581481,34597992,21926,4621134,12863148,11638824,13218225,7816216,1267,553,239,292,295,167,274,298,255,58,99,281,487,695,200,598,1197,5,196,439,451,427,278
81483,20241,D,발달상권,3120094,"신촌역(신촌역, 신촌로터리)",CS300029,애완동물,68748400,2122,49753035,18995365,6310059,7977729,10930716,9869173,14665358,10491027,8504338,456332,4322446,20442499,14468101,23610308,5448714,19290274,49458126,18614,10223222,16525268,7437233,16074788,18469275,1536,586,231,323,380,305,297,314,272,24,157,651,481,665,144,635,1487,5,220,574,336,552,435
81484,20241,D,발달상권,3120230,송파사거리(송파역),CS300029,애완동물,8054000,229,6251861,1802139,301618,881688,1973934,1823468,1271153,1235143,566996,0,1014721,1211288,3107925,2720066,0,2670522,5383478,0,386254,1957878,1345469,1546164,2818235,174,55,10,33,45,45,41,37,18,0,28,37,83,81,0,69,160,0,14,55,32,42,86
84279,20241,R,전통시장,3130112,사가정시장,CS300029,애완동물,3747569,137,2134603,1612966,308866,1015824,233365,308865,267683,631459,981507,0,960915,418684,1585511,782459,0,2313059,1434510,0,1002097,82364,1201144,391230,1070734,97,40,14,14,21,21,27,27,13,0,7,34,54,42,0,55,82,0,14,14,35,7,67
84282,20241,R,전통시장,3130018,동대문문구완구거리(동대문문구완구시장),CS300029,애완동물,385650916,3930,289139925,96510991,3716083,65746103,22653820,144927278,52096641,18830541,77680450,0,33444756,278777769,46736903,26691488,0,172333398,147642878,0,4573642,22618089,50810302,35374261,206599980,2357,1573,356,428,357,715,501,787,786,0,428,1215,1358,929,0,2430,1001,0,356,857,714,428,1072
84283,20241,A,골목상권,3110376,수송초등학교,CS300029,애완동물,3054903,206,3054903,0,389621,1879145,0,0,786137,0,0,0,0,586155,2468748,0,0,830961,2223942,0,0,389621,441340,586155,1637787,206,0,35,102,0,0,69,0,0,0,0,68,138,0,0,69,137,0,0,35,34,68,69
84284,20241,A,골목상권,3110507,명지대학교,CS300029,애완동물,45070967,1407,33289958,11781009,3185730,2917333,7484215,12514593,7188087,8127248,3653761,0,857331,6262972,21806580,13719528,2424556,19661624,19798771,0,0,4625959,5008183,14776475,15049778,1064,343,127,217,187,320,213,168,175,0,44,258,661,381,63,603,698,0,0,154,222,403,523
84285,20241,A,골목상권,3111066,암사동성당(효정하나플러스아파트),CS300029,애완동물,9460777,179,5046378,4414399,1037573,565949,1344130,1131897,966829,2641093,1773306,0,0,2409999,2829744,4221034,0,3659803,5800974,0,1013991,2598649,3560762,1815751,471624,90,89,18,5,25,28,14,52,37,0,0,42,61,76,0,62,117,0,19,47,79,24,10
84286,20241,D,발달상권,3120221,봉은사역,CS300029,애완동물,26986240,208,14130340,12855900,3425054,0,2453295,2453295,5798696,8952931,3902969,0,0,13477190,8506878,5002172,0,1051412,25934828,0,0,1051412,1051412,22430121,2453295,112,96,32,0,16,32,32,48,48,0,0,64,64,80,0,48,160,0,0,48,16,128,16
84287,20241,A,골목상권,3111005,삼전역 3번,CS300029,애완동물,15299912,919,11953812,3346100,1797930,3317587,1420689,2328966,3088640,1217932,2128168,483448,165517,1163448,4410257,7440001,1637241,5972730,9031319,0,2826238,4387283,4527281,304711,2958537,687,232,104,166,124,151,142,96,136,63,21,96,160,435,144,303,602,0,160,380,241,28,97
84288,20241,D,발달상권,3120225,잠실새내역(신천),CS300029,애완동물,21090970,1321,15001877,6089093,3486259,3759649,3389106,2067355,2299508,5423133,665960,0,183577,6574301,6511037,7822055,0,7100294,13640468,0,905573,1612665,5848840,8988660,3385024,981,340,232,231,208,152,158,289,51,0,17,345,424,535,0,381,923,0,56,161,363,494,230
84406,20241,A,골목상권,3110564,홍대입구역 3번,CS300029,애완동물,36976637,40,18400459,18576178,2008236,2786427,2008236,301235,11296325,4518530,14057648,0,0,2686015,25353973,8936649,0,13304561,23672076,0,18952722,15312797,2409883,301235,0,30,10,5,10,5,5,5,5,5,0,0,15,10,15,0,10,30,0,15,15,5,5,0
86918,20241,U,관광특구,3001494,종로?청계 관광특구,CS300029,애완동물,646479587,12782,434735213,211744374,28236783,107646740,59796014,170286770,68768906,78295244,133449130,0,49280274,336107342,155225633,94634292,11232046,327560318,226502670,17274,11571967,25500902,83840098,109258007,323874738,7195,5587,1175,1845,1271,1770,1134,2817,2770,0,989,3408,4741,3423,221,7780,4025,5,740,1100,2007,2770,5177
86920,20241,A,골목상권,3110646,푸른들청소년도서관,CS300029,애완동물,9057646,246,5920677,3136969,348552,1921747,1785152,1723921,141305,3136969,0,0,376813,3071027,2237328,3372478,0,3890597,5167049,0,0,1177541,1017396,4008350,2854359,189,57,19,47,57,57,9,57,0,0,9,85,47,105,0,66,180,0,0,27,28,116,75
86921,20241,D,발달상권,3120131,가산디지털단지,CS300029,애완동물,328943322,4316,195079085,133864237,75713686,15162355,0,52976692,51226352,61370045,72494192,0,0,89422146,165296262,74224914,0,139025889,189917433,4355144,96804094,71070814,113929099,42784171,0,2702,1614,740,436,0,697,829,655,959,0,0,916,2223,1177,0,2049,2267,131,1089,1046,1526,524,0
86922,20241,D,발달상권,3120145,영등포역(영등포),CS300029,애완동물,223246541,2932,149376634,73869907,34591540,33720824,26648040,21487504,32928726,28680460,45189447,0,5125450,83146789,69040725,63807042,2126535,83999926,139246615,0,33641580,76722094,86249694,16064181,10568992,1801,1131,384,321,333,314,449,460,671,0,64,716,948,1114,90,985,1947,0,443,1089,832,430,138
86923,20241,D,발달상권,3120208,청담사거리(청담동명품거리),CS300029,애완동물,399869821,2367,281435667,118434154,30189849,10014727,40313826,72433785,128483480,118434154,0,0,0,80591236,216631280,102647305,0,55645462,338543278,0,12818850,97434186,90023287,20903465,173008952,1930,437,218,292,437,401,582,437,0,0,0,656,1310,401,0,547,1783,0,109,619,765,292,547
