,기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
37697,20244,A,골목상권,3110507,명지대학교,CS300029,애완동물,27161526,824,18181902,8979624,4462499,5273038,1310458,2710977,4424930,2948528,6031096,0,1542339,9095919,12328811,4194457,0,6331754,15894986,143952,549571,61694,7873395,3575393,10022734,569,255,122,167,86,86,108,126,129,0,21,253,360,190,0,166,572,21,22,21,150,147,377
37698,20244,D,발달상권,3120178,신사역,CS300029,애완동물,127913832,919,91657073,36256759,14525123,19240695,24338604,21435393,12117258,34978327,1278432,0,20623177,30036309,50700795,25470231,1083320,55599831,71684381,0,11003465,25254007,18530984,28930612,43565144,638,281,141,155,135,129,78,249,32,0,154,216,364,152,33,372,534,0,55,206,160,260,224
37699,20244,D,발달상권,3120208,청담사거리(청담동명품거리),CS300029,애완동물,507544964,1795,468432905,39112059,37473286,39439814,102550799,186709543,102259463,39112059,0,0,0,30044180,244104407,233396377,0,81501666,416137823,0,56519475,222871810,144394148,47815767,26038289,1503,292,109,472,364,266,292,292,0,0,0,292,1018,485,0,365,1358,0,218,412,729,182,182
37700,20244,A,골목상권,3111066,암사동성당(효정하나플러스아파트),CS300029,애완동물,5106744,117,3408900,1697844,1272442,0,943249,297123,896086,353718,1344126,0,0,2711838,1461091,933815,0,1367708,3739036,0,613110,589530,1013992,2465650,424462,80,37,32,0,19,15,14,10,27,0,0,51,33,33,0,33,84,0,10,14,33,50,10
40381,20244,D,발달상권,3120093,연희동,CS300029,애완동물,10801357,460,8472983,2328374,1576611,1576611,1874185,1921170,1524406,1545289,783085,0,0,4249543,4526233,1660141,365440,5565127,5236230,156617,1179849,2349256,2417123,1816758,2881754,367,93,84,74,73,63,73,73,20,0,0,104,221,115,20,261,199,10,52,83,95,84,136
40382,20244,D,발달상권,3120207,선정릉역,CS300029,애완동물,168645166,252,115600973,53044193,14247927,5447737,32929473,44495437,18480399,35862870,17181323,0,4190566,16846078,76511366,62716022,8381134,77181857,91463309,0,30825809,25637888,77567389,34614080,0,168,84,16,8,78,50,16,42,42,0,16,33,75,77,51,84,168,0,67,67,68,50,0
40384,20244,A,골목상권,3111060,암사역 2번(서울강동초등학교),CS300029,애완동물,20120893,138,19361815,759078,128295,256589,53456,545252,18378223,256590,502488,0,0,256590,288663,19575640,0,19094534,1026359,0,288663,18175089,0,1026358,630783,94,44,11,10,11,20,42,22,22,0,0,22,11,105,0,74,64,0,11,31,0,64,32
43041,20244,A,골목상권,3110032,수족관거리,CS300029,애완동물,16230392,572,3341551,12888841,0,0,0,477364,2864187,10979383,1909458,0,0,3532497,6014792,6683103,0,10788437,5441955,0,0,0,0,0,16230392,191,381,0,0,0,96,95,286,95,0,0,95,381,96,0,382,190,0,0,0,0,0,572
43042,20244,R,전통시장,3130018,동대문문구완구거리(동대문문구완구시장),CS300029,애완동물,213353248,4431,132992931,80360317,27370389,39233272,37160840,20438462,8789968,65281592,15078725,0,23439915,62744650,113805073,13363610,0,117163842,41162777,0,6717537,20724315,67425487,28728188,34731093,2142,2289,213,716,643,142,428,1359,930,0,357,928,2503,643,0,3002,1143,0,429,785,1000,857,1072
43043,20244,D,발달상권,3120055,군자역,CS300029,애완동물,81493648,6842,58160915,23332733,9608813,10081620,12578410,12103561,13788511,12597557,10735176,5966257,3900916,8640477,12047396,33974725,16963877,32541397,48952251,648451,24746199,29621876,7694455,13085029,5697638,4647,2195,791,869,1047,868,1072,1276,919,460,332,894,944,2730,1482,2485,4357,128,2178,2381,591,1051,513
