No,분류,분류,분류,2024년 3분기,2024년 3분기,2024년 3분기,2024년 4분기,2024년 4분기,2024년 4분기,2025년 1분기,2025년 1분기,2025년 1분기
No,분류,분류,분류,소득수익률,자본수익률,투자수익률,소득수익률,자본수익률,투자수익률,소득수익률,자본수익률,투자수익률
No,분류,분류,분류,%,%,%,%,%,%,%,%,%
156,경기,안양역,안양역,0.64,0.48,1.12,0.83,0.34,1.17,0.76,0.42,1.18
157,경기,양주덕정역,양주덕정역,0.83,0.05,0.88,1.00,-0.11,0.89,0.98,-0.12,0.87
158,경기,여주시청,여주시청,0.82,0.00,0.82,1.01,0.00,1.02,1.01,-0.32,0.69
159,경기,오산시청,오산시청,0.64,0.42,1.07,0.84,0.22,1.06,0.77,0.23,1.01
160,경기,용인수지,용인수지,0.28,0.51,0.79,0.49,0.34,0.83,0.47,0.07,0.54
161,경기,의정부역,의정부역,0.64,0.54,1.18,0.71,0.02,0.73,0.74,-0.13,0.61
162,경기,이천종합터미널,이천종합터미널,0.77,0.50,1.27,0.90,0.32,1.22,0.88,0.21,1.10
163,경기,인계동,인계동,0.24,0.63,0.87,0.45,0.49,0.94,0.44,0.32,0.76
164,경기,인덕원,인덕원,0.47,1.17,1.64,0.59,1.54,2.13,0.58,1.56,2.13
165,경기,탄현역,탄현역,0.36,0.25,0.61,0.52,-0.22,0.30,0.52,-0.19,0.33
166,경기,파주시청,파주시청,0.66,0.12,0.78,0.71,-0.25,0.46,0.72,0.03,0.75
167,경기,팔달문로터리,팔달문로터리,0.60,0.66,1.26,0.77,0.42,1.20,0.76,0.36,1.13
168,경기,평택역,평택역,0.70,0.53,1.23,0.87,0.17,1.03,0.86,0.33,1.19
169,경기,포천소흘읍,포천소흘읍,0.28,0.00,0.28,0.48,-0.04,0.44,0.48,-0.15,0.33
170,경기,포천시외버스터미널,포천시외버스터미널,0.51,0.04,0.55,0.66,-0.05,0.61,0.66,-0.11,0.55
171,경기,하남원도심,하남원도심,0.53,1.05,1.58,0.72,0.44,1.16,0.71,0.09,0.80
172,경기,화성남양읍,화성남양읍,0.53,0.50,1.02,0.71,0.12,0.83,0.70,0.17,0.87
173,경기,화성봉담읍,화성봉담읍,0.84,0.43,1.27,1.03,0.06,1.09,0.99,0.70,1.68
174,강원,강원,강원,0.83,0.05,0.88,0.98,-0.23,0.75,0.98,-0.25,0.74
175,강원,강릉교동,강릉교동,0.77,0.40,1.17,0.94,0.13,1.07,0.85,-0.02,0.83
176,강원,강릉중부,강릉중부,0.58,-0.35,0.23,0.75,-0.06,0.68,0.74,-0.15,0.58
177,강원,묵호항,묵호항,1.22,0.04,1.26,1.36,-0.33,1.03,1.35,-0.43,0.92
178,강원,삼척중앙시장,삼척중앙시장,0.71,-0.31,0.40,0.95,-0.34,0.61,0.95,-0.75,0.19
179,강원,속초중앙시장,속초중앙시장,0.87,-0.22,0.65,1.02,-0.23,0.78,1.01,-0.24,0.77
180,강원,영월경찰서,영월경찰서,0.84,0.37,1.21,1.01,-0.35,0.65,1.00,-0.42,0.59
181,강원,원주중앙/일산,원주중앙/일산,0.76,0.19,0.94,0.91,-0.19,0.71,0.99,-0.36,0.63
182,강원,주문진항,주문진항,0.91,-0.54,0.37,1.04,-0.64,0.40,1.04,-0.67,0.37
183,강원,춘천명동,춘천명동,0.72,0.28,1.00,0.88,-0.39,0.49,0.83,-0.41,0.42
184,강원,태백중앙시장,태백중앙시장,1.01,-0.37,0.65,1.04,-0.34,0.70,1.02,-0.49,0.53
185,충북,충북,충북,0.81,0.00,0.81,0.93,-0.19,0.74,0.92,-0.17,0.75
186,충북,봉명사거리,봉명사거리,0.75,0.12,0.87,0.85,0.06,0.91,0.84,0.04,0.88
187,충북,제천역,제천역,0.80,-0.07,0.74,0.93,-0.38,0.55,0.93,-0.39,0.54
188,충북,제천중앙,제천중앙,0.70,0.55,1.25,0.83,-0.45,0.38,0.82,-0.58,0.25
189,충북,증평광장로,증평광장로,0.91,0.09,1.00,0.98,0.03,1.02,1.01,-0.02,0.99
190,충북,청주성안길,청주성안길,0.77,-0.21,0.56,0.93,-0.29,0.64,0.93,-0.31,0.62
191,충북,충북대학교,충북대학교,0.73,-0.07,0.66,0.90,-0.12,0.77,0.89,-1.06,-0.17
192,충북,충주연수칠금,충주연수칠금,0.55,0.06,0.60,0.72,-0.30,0.42,0.72,-0.54,0.18
193,충북,충주자유시장,충주자유시장,0.91,-0.06,0.84,1.04,-0.08,0.96,1.07,0.07,1.14
194,충남,충남,충남,0.75,0.04,0.78,0.91,-0.06,0.85,0.89,-0.10,0.79
195,충남,공주대,공주대,0.63,0.10,0.73,0.75,0.02,0.77,0.75,0.05,0.80
196,충남,공주웅진동,공주웅진동,0.90,-0.01,0.89,1.06,-0.01,1.05,1.05,0.07,1.12
197,충남,논산시외버스터미널,논산시외버스터미널,0.84,0.03,0.87,1.02,-0.03,0.99,0.94,-0.01,0.92
198,충남,당진시청,당진시청,0.90,-0.07,0.83,1.10,-0.08,1.02,1.10,-0.15,0.95
199,충남,두정,두정,0.61,0.09,0.70,0.82,0.03,0.85,0.81,-0.01,0.81
200,충남,배방읍,배방읍,0.89,0.20,1.09,1.07,0.20,1.27,1.07,-0.03,1.04
201,충남,보령문화의전당,보령문화의전당,0.75,0.04,0.79,0.83,-0.21,0.62,0.92,-0.32,0.60
202,충남,서산터미널,서산터미널,0.78,-0.06,0.73,0.98,-0.16,0.82,0.96,-0.22,0.74
203,충남,아산온양,아산온양,0.72,0.10,0.82,0.88,0.04,0.92,0.81,-0.31,0.50
204,충남,예산시장,예산시장,0.68,0.03,0.71,0.84,-0.16,0.68,0.83,-0.16,0.67
205,충남,천안역,천안역,0.75,0.11,0.86,0.94,-0.19,0.74,0.93,0.17,1.10
206,충남,천안종합버스터미널,천안종합버스터미널,1.03,-0.17,0.86,1.16,-0.31,0.85,1.13,-0.10,1.03
207,충남,태안터미널,태안터미널,0.64,-0.11,0.53,0.80,-0.25,0.55,0.78,-0.15,0.63
208,충남,합덕버스터미널,합덕버스터미널,0.56,-0.30,0.26,0.75,-0.31,0.43,0.74,-0.01,0.73
209,전북,전북,전북,0.72,-0.19,0.53,0.87,-0.23,0.64,0.87,-0.24,0.63
210,전북,군산수송동조촌동,군산수송동조촌동,0.69,0.01,0.70,0.78,-0.07,0.71,0.78,-0.10,0.68
211,전북,군산원도심,군산원도심,0.72,-0.10,0.62,0.89,-0.21,0.68,0.88,-0.22,0.66
212,전북,김제시장,김제시장,0.83,-0.14,0.69,1.06,-0.21,0.85,1.05,-0.29,0.76
213,전북,남원광한루,남원광한루,0.69,-0.30,0.39,0.82,-0.45,0.36,0.82,-0.54,0.28
214,전북,송천동,송천동,0.66,-0.13,0.53,0.81,-0.30,0.52,0.80,-0.45,0.35
215,전북,영등부송,영등부송,0.54,-0.03,0.51,0.67,-0.08,0.59,0.66,-0.04,0.62
216,전북,익산역,익산역,0.55,-0.25,0.30,0.68,-0.30,0.39,0.68,-0.13,0.56
217,전북,전주동부,전주동부,0.89,-0.26,0.62,1.00,-0.34,0.65,0.95,-0.40,0.54
218,전북,전주서부,전주서부,0.76,-0.21,0.54,0.92,-0.27,0.66,0.95,-0.43,0.52
219,전북,전주한옥마을,전주한옥마을,0.82,-0.17,0.65,0.73,-0.21,0.52,0.94,-0.38,0.56
220,전북,정읍중심,정읍중심,0.68,-0.38,0.31,0.87,-0.43,0.44,0.87,-0.25,0.61
221,전남,전남,전남,0.68,-0.02,0.66,0.80,-0.17,0.64,0.79,-0.20,0.59
222,전남,광양읍,광양읍,0.39,0.16,0.56,0.48,-0.25,0.23,0.47,-0.37,0.10
223,전남,광양중동,광양중동,0.66,-0.04,0.62,0.68,-0.04,0.64,0.72,-0.04,0.68
224,전남,나주구시가지,나주구시가지,0.70,0.00,0.70,0.85,-0.36,0.49,0.84,-0.42,0.43
225,전남,목포구도심,목포구도심,0.76,0.11,0.86,0.92,-0.03,0.90,0.92,-0.23,0.68
226,전남,무선지구,무선지구,0.44,-0.41,0.04,0.55,-0.54,0.01,0.53,-0.57,-0.04
227,전남,순천법원,순천법원,0.51,0.08,0.59,0.55,0.16,0.71,0.54,0.13,0.67
228,전남,순천원도심,순천원도심,0.73,-0.13,0.60,0.80,-0.22,0.58,0.79,-0.38,0.41
