행정동,20191,20192,20193,20194,20201,20202,20203,20204,20211,20212,20213,20214,20221,20222,20223,20224,20231,20232,20233,20234,20241,20242,20243,20244,시설수,면적
구의3동,97379.3,125038.2,126764.0,103450.1,76389.7,75241.2,80634.7,75172.6,67557.8,93506.2,90037.4,94310.6,78662.8,111351.8,181963.1,104456.2,93311.6,141994.2,164379.9,107965.6,27907.5,125876.4,44907.4,96703.1,,1.02
군자동,16087.8,16192.2,14485.9,15912.1,15189.8,19330.2,12793.4,13103.8,10703.6,17148.2,13661.6,15553.5,14156.4,20993.3,21880.7,22581.2,34278.8,39170.2,38509.0,35533.0,11820.3,33187.0,11863.6,28269.1,81.0,0.74
금호1가동,6801.9,8140.3,8724.7,7949.2,7910.8,5777.0,5719.6,4937.8,6463.9,10055.6,8233.3,11138.1,7191.3,9916.7,10043.4,8108.5,9637.9,10233.4,10687.8,9388.6,3094.1,9901.1,3974.6,8679.1,9.0,0.46
금호2?3가동,8557.1,8324.8,8090.3,8570.9,7102.9,7501.3,9364.5,7373.9,8984.8,10723.1,15141.1,16365.2,19061.1,22513.7,20468.7,16979.7,21728.7,18285.1,20028.5,18596.9,5334.4,17715.7,7244.5,19682.5,,
금호4가동,16817.4,16307.2,15584.5,15876.2,13717.3,12668.2,11659.1,11452.0,13865.2,16492.0,16003.9,16553.1,17738.8,20389.1,23040.7,18491.5,19697.3,21401.6,21119.0,17826.8,6692.1,21979.9,7837.9,19402.9,49.0,0.84
길동,77889.0,81934.2,87347.7,85818.2,75068.1,73263.7,67177.0,60524.6,60908.1,72602.5,68391.9,73674.0,73847.6,84786.2,86107.7,81345.2,88871.6,89465.6,85311.2,86535.1,29492.1,86556.0,32931.1,73859.1,324.0,1.61
길음1동,17959.2,16340.2,17350.7,19715.0,18733.9,15602.5,14165.3,14222.7,15563.3,18979.5,15414.9,15789.2,14354.0,18669.1,17935.8,20447.8,22581.1,21332.7,19694.0,19855.1,10869.9,23540.0,7623.1,22721.4,,0.79
길음2동,311580.2,334488.7,321479.3,329892.1,230253.1,270642.7,264031.6,278456.9,260644.8,266458.6,264551.0,303912.4,308317.3,368321.8,320660.3,302907.2,289510.7,295246.5,284314.7,301630.5,89659.1,289014.1,97883.2,319221.6,289.0,0.58
낙성대동,27379.9,25613.0,27279.9,32191.7,25842.5,25229.5,26556.9,24724.4,27088.0,34144.9,31091.1,30082.6,29490.1,35278.2,36930.2,33879.7,36181.9,37126.0,41893.7,40830.9,14415.0,45917.9,18305.3,49559.0,,2.27
난곡동,10648.8,9856.5,10654.3,10551.0,10097.0,10367.3,6953.1,7496.5,8207.7,9119.7,9812.2,10468.0,8040.9,8354.8,10062.9,7889.8,10204.6,9218.3,10076.2,9129.8,3362.0,8806.9,3107.5,8085.5,,0.96
난향동,4794.8,3877.2,4535.2,4332.5,4092.6,4572.6,3272.3,3512.3,3892.3,6728.5,4547.8,4275.2,3925.6,4684.6,4168.8,3585.1,4816.4,5357.7,5285.3,5292.6,1523.4,4838.4,1761.1,4881.5,,0.8
남가좌1동,9141.2,9226.3,8320.8,9636.4,7959.1,9732.9,8920.6,9484.6,8099.9,14556.5,10620.4,14884.8,11469.1,16639.9,14323.9,13492.1,14192.8,16150.9,11901.2,14234.7,3878.8,16446.8,3922.8,12275.0,196.0,0.51
